9,19,12,20,27,3,25,5,0,1,0
7,22,10,20,16,14,21,10,0,1,0
25,6,16,13,28,2,9,22,1,0,1
24,7,17,12,23,9,19,9,1,0,1
13,15,13,19,11,20,9,22,1,0,1
12,18,14,16,21,7,25,6,0,1,0
7,24,6,24,14,15,8,22,0,1,0
9,20,9,22,12,19,8,21,1,0,1
13,18,6,25,16,13,10,22,1,0,1
25,4,13,18,16,13,10,20,1,0,1
9,23,8,20,21,10,15,14,0,1,0
17,14,12,17,21,7,24,6,1,1,1
23,6,18,12,21,8,18,12,0,1,0
15,13,10,20,16,14,11,19,1,0,1
11,21,13,16,7,23,6,24,0,1,0
16,14,11,18,7,21,10,20,1,0,1
12,18,6,25,16,13,10,19,2,0,1
23,9,19,8,9,18,12,20,0,1,0
24,4,13,18,16,14,20,10,2,1,1
16,14,12,17,12,15,13,19,1,2,0
27,3,24,5,20,12,17,11,2,0,1
12,17,14,16,9,22,8,20,1,0,1
11,20,13,16,11,20,9,21,0,1,0
21,9,16,13,14,15,7,22,1,1,1
24,6,16,13,23,7,17,12,2,1,1
28,2,9,21,8,20,9,22,1,1,1
21,10,14,14,16,13,10,21,2,0,1
20,12,17,10,12,15,12,19,1,2,1
7,23,5,24,21,7,24,5,1,2,0
9,18,11,20,8,20,9,21,2,1,1
9,22,8,19,27,2,9,21,1,1,1
14,15,7,21,16,13,10,18,2,0,1
11,18,6,25,15,14,11,18,2,2,0
23,4,13,18,7,21,10,19,2,1,0
21,8,17,12,16,13,12,17,2,1,1
14,13,10,20,16,14,20,9,1,2,0
11,19,13,16,23,6,16,13,0,3,0
20,9,16,13,23,5,18,12,1,1,0
20,10,14,14,8,18,11,20,3,2,1
23,8,19,8,26,3,24,5,0,3,0
12,19,8,20,19,12,17,10,0,2,0
23,7,17,11,11,20,8,21,2,1,1
21,7,23,5,11,17,14,16,2,1,1
16,13,10,20,23,5,17,12,0,2,0
7,22,5,24,12,15,12,18,1,2,0
8,22,8,19,23,3,13,18,2,1,1
27,2,9,20,11,17,6,25,2,1,1
13,15,7,21,26,3,23,5,1,3,0
16,13,10,17,15,14,10,18,0,3,0
20,8,17,12,8,20,9,20,3,0,1
16,14,19,9,7,21,9,19,2,1,1
20,8,16,13,11,18,13,16,1,1,0
23,6,15,13,16,13,12,16,3,0,1
20,7,23,5,23,5,16,12,3,2,1
23,7,19,8,19,10,14,14,1,2,1
22,7,17,11,7,21,9,18,2,1,1
12,18,8,20,13,14,7,21,1,1,1
19,12,16,10,14,12,10,20,3,1,1
7,21,5,24,11,17,14,15,0,2,0
16,12,10,20,11,20,8,20,1,1,1
22,6,15,13,12,15,11,18,2,2,0
8,18,11,19,16,12,10,17,1,1,0
11,17,6,24,15,14,19,9,1,2,1
23,3,13,17,7,22,8,19,1,2,1
11,18,8,20,11,18,12,16,1,2,0
26,3,22,5,26,2,9,20,3,1,1
20,7,16,13,19,8,17,12,0,3,0
15,14,9,18,15,14,19,8,2,2,0
