HOME_TEAM_HOME_WINS,HOME_TEAM_HOME_LOSES,HOME_TEAM_ROAD_WINS,HOME_TEAM_ROAD_LOSES,AWAY_TEAM_HOME_WINS,AWAY_TEAM_HOME_LOSES,AWAY_TEAM_ROAD_WINS,AWAY_TEAM_ROAD_LOSES,HOME_TEAM_FORM,AWAY_TEAM_FORM,HOME_TEAM_RAPTOR,AWAY_TEAM_RAPTOR,HOME_TEAM_WINS
7,1,4,1,5,3,0,5,3,1,1644.51775720254,1545.14771843987,1
3,5,2,3,1,6,1,6,2,0,1442.2348300427698,1301.7927066573,0
3,4,1,5,1,4,4,5,2,1,1397.6464355137698,1334.62478476984,1
3,3,2,4,5,4,2,1,2,1,1490.12683421422,1556.45893132889,1
2,4,2,5,3,1,7,2,0,3,1343.0812336087401,1694.76292755875,0
3,3,2,5,3,4,3,4,1,2,1363.0329157095098,1322.16885300888,1
2,5,2,5,3,3,1,6,0,0,1409.8367177749699,1443.11984661259,1
4,3,4,2,1,6,2,6,2,1,1588.0181629998,1156.10135246965,1
4,2,5,1,6,1,5,2,2,3,1596.4667948191598,1702.36852127484,1
8,1,1,4,5,0,6,2,2,2,1720.84580658445,1577.24171050356,1
5,0,4,3,2,4,2,5,3,0,1538.0613865221899,1393.1302858453,1
3,4,5,2,6,1,2,4,1,1,1573.7155505193,1626.7062556928302,0
4,0,4,5,3,4,1,6,1,2,1625.06820375129,1245.99101176244,1
5,0,4,4,6,3,0,4,2,3,1494.43146920778,1541.55620332877,1
1,3,2,5,4,4,1,5,1,0,1437.58251093435,1406.25998236482,1
3,1,8,2,1,4,4,6,3,1,1681.6167366842,1314.93763951555,1
5,4,2,2,4,4,1,5,1,2,1553.19954701952,1475.69785065826,0
4,3,2,5,4,3,2,4,2,2,1367.9917040058,1464.77070071303,1
3,5,2,5,6,0,4,3,1,3,1405.4112588025198,1534.3355831912697,0
5,3,4,2,2,4,2,6,3,0,1595.0560428147699,1411.3442601388401,1
5,2,5,1,5,0,6,3,3,1,1611.6274483718,1604.13175281578,1
3,3,1,7,2,5,2,5,0,0,1436.91864917961,1381.64874394602,1
9,1,1,4,6,1,5,3,3,2,1737.2037700411402,1706.4608448200302,1
5,3,0,6,8,1,4,1,1,3,1549.0786840690803,1626.2769273020801,0
5,0,4,5,4,4,1,6,2,0,1616.4456708084601,1363.60544950061,1
6,1,3,4,1,6,2,7,1,1,1622.17981637603,1131.3904169612802,1
2,3,2,5,3,4,3,5,2,1,1435.1483117154098,1304.85033911385,1
2,5,2,6,6,0,4,4,0,2,1360.31384577261,1535.75545077154,0
3,4,3,6,3,6,2,5,0,1,1293.72119723889,1409.59207320775,0
2,4,2,7,1,4,4,7,0,0,1400.37839993637,1400.8514928521,1
5,2,3,4,6,3,0,5,1,2,1468.5893919104199,1486.92728882471,1
3,6,2,3,8,1,5,1,1,3,1422.5533448210501,1638.8839846180201,0
4,1,8,2,4,3,1,7,3,1,1661.7080687403302,1431.1972575779598,1
3,5,5,2,5,5,2,2,1,0,1529.64981142881,1542.416679829,0
3,4,1,7,4,4,1,7,1,0,1270.18340326821,1364.94439715829,0
6,0,4,5,6,0,5,3,3,3,1591.65399878319,1526.01962611043,1
7,1,3,4,4,4,2,5,2,3,1600.9507601523198,1515.8178670773002,1
6,2,5,1,5,5,3,2,3,1,1633.48464184271,1536.18765699284,1
6,1,5,4,6,3,4,2,1,3,1723.21821237508,1620.4169058704401,0
10,1,1,4,4,4,2,6,3,2,1735.0903960663097,1535.41640150849,1
3,5,1,7,5,3,2,5,1,2,1269.8661149490401,1382.7658357797197,0
3,3,2,5,4,3,2,5,2,2,1431.9143135100198,1444.63933865835,0
2,6,2,6,3,6,5,2,0,1,1385.0356911677302,1527.68071583731,0
5,0,6,4,4,3,3,5,1,2,1550.1037390077,1434.49431903336,1
3,6,3,5,1,4,4,8,2,0,1409.57498213081,1413.16403165452,0
3,4,2,7,5,3,3,5,1,3,1387.61756229509,1423.57858106499,0
4,3,1,8,6,3,0,6,1,1,1442.05433003139,1507.4307666167902,1
1,6,2,8,5,4,0,6,1,0,1285.3080837615598,1581.6690837609199,0
6,2,3,4,3,7,2,3,2,0,1495.32041345008,1440.87928904366,1
6,0,5,4,3,5,3,6,2,0,1528.5536011429801,1327.72645882185,1
5,1,8,2,8,1,3,4,3,3,1657.55477364034,1597.20642459936,1
4,4,2,7,8,1,6,1,1,3,1377.7954307142402,1603.57315343377,0
6,0,5,4,7,0,4,5,3,3,1507.8214706768,1635.77606662474,1
6,3,5,2,11,1,1,4,3,3,1634.9213690575698,1723.1102055486901,0
7,2,5,1,3,4,2,5,3,2,1657.8243301241598,1427.2518471820802,1
6,0,6,4,5,3,4,5,1,3,1554.2426435840302,1442.31087922398,1
3,5,3,7,5,3,1,8,0,2,1294.5073042966699,1448.9587650268802,1
3,5,2,7,6,3,0,7,1,0,1385.60528506252,1493.6825655309501,0
1,7,2,8,3,7,3,5,0,1,1295.30120001514,1388.1860072441,1
6,2,5,4,7,0,5,4,0,2,1651.7148898547,1415.09417485212,1
7,2,3,4,8,1,3,5,3,2,1498.9753541896398,1630.75985201551,1
3,7,2,4,11,1,2,4,0,3,1426.42161801154,1613.5158617354,0
6,1,8,2,2,7,2,6,3,0,1677.35556031961,1378.9717108249,1
4,4,2,7,8,1,7,1,1,3,1457.58293987094,1627.12859676858,0
7,0,4,6,4,3,3,6,2,1,1672.40662637237,1454.64494231678,1
5,5,3,3,3,4,2,6,1,1,1550.8955728904098,1425.3280033787698,0
1,4,5,8,5,4,1,6,1,1,1446.50294351046,1562.8928905344198,1
4,5,2,7,3,6,6,2,1,1,1403.58008789991,1577.53624249178,0
7,0,5,4,3,6,1,7,3,0,1515.88817329358,1247.33864170937,1
5,3,4,6,7,0,6,4,2,2,1465.8488287092903,1592.74939029071,1
3,6,2,7,7,1,8,2,1,3,1375.75828550297,1660.2349696547,0
5,3,1,9,4,5,3,7,1,1,1440.0722748090302,1299.6118667281698,0
8,2,3,4,2,7,2,7,3,0,1521.1988681659802,1390.80275289763,1
8,1,8,1,3,4,3,6,3,1,1616.0476467422197,1437.6635013487,1
3,8,2,4,8,1,3,6,0,1,1442.90596804774,1640.2539606151402,0
7,0,5,5,2,7,2,8,1,1,1424.1006734202801,1323.6792318548,1
3,6,1,8,8,0,4,6,0,2,1255.88481298515,1675.5966204814902,0
5,4,1,7,4,5,2,7,1,0,1546.86768200099,1478.38981744664,1
6,3,1,7,8,0,5,4,1,3,1498.78734331886,1524.8949607939999,0
5,6,3,3,6,4,5,2,1,2,1539.75131311325,1628.36179764389,0
2,4,5,8,3,7,3,6,2,1,1481.8172308200199,1373.09817868787,1
4,6,2,7,11,1,3,4,1,3,1404.4070308807002,1717.6211948589003,1
7,2,5,4,2,7,2,8,1,0,1668.8314950666,1407.35733351128,1
7,1,9,2,4,5,4,7,3,2,1654.26771974459,1301.8934577456,1
8,0,5,6,9,2,3,4,2,3,1679.08154216293,1496.64900640205,1
4,3,3,7,8,2,5,1,1,3,1455.06273247474,1629.40647154556,1
6,3,4,6,8,0,5,5,2,2,1511.3923218054401,1542.75239882949,0
5,4,1,9,5,6,2,7,1,1,1426.84130850982,1417.67048583894,1
11,1,3,5,3,4,3,7,2,1,1698.98206826288,1435.3179848589002,1
9,1,8,1,6,4,6,2,3,2,1614.3923694810098,1639.06530871728,0
3,6,7,2,3,9,2,4,2,0,1562.96691853421,1439.1608706867498,0
4,5,2,8,6,4,1,7,0,2,1514.6465601643,1538.0319973429998,0
3,7,1,8,7,0,6,5,0,2,1259.03532765924,1595.64718025824,0
6,4,1,7,2,7,2,9,1,1,1476.1592625458,1374.75395603362,1
8,0,6,4,8,1,4,6,3,1,1533.1921971729598,1629.5931611974697,1
2,7,2,9,2,7,2,10,0,1,1390.3554349109802,1381.6561506098599,1
4,5,4,8,5,7,3,3,2,0,1333.34541120128,1538.52471287999,0
3,9,3,4,9,2,3,5,1,2,1414.7422949069198,1518.1076558952,0
8,1,9,2,3,8,1,8,3,0,1613.54582119883,1251.0632524974199,1
9,0,5,6,8,1,4,7,3,1,1630.05110192613,1639.9388535379699,1
5,3,3,7,3,7,3,7,1,0,1456.5908773873998,1371.07787709481,0
3,7,2,7,6,4,1,9,0,1,1393.91454822426,1443.95622604308,0
8,2,5,2,9,2,8,1,2,2,1643.2911434074401,1613.96629251569,0
12,1,3,5,3,4,5,8,2,3,1699.21794900962,1505.69381018658,1
4,6,2,8,6,4,7,2,0,2,1435.53721855755,1643.22186810714,0
5,6,2,8,8,2,5,4,1,2,1381.91263155823,1718.04357868501,1
9,0,6,4,8,0,6,5,3,2,1640.99613570536,1533.0969253733401,0
3,4,3,8,7,4,1,7,1,2,1422.8178743323099,1470.84595407692,0
3,7,2,9,6,4,4,6,1,1,1369.35206908401,1405.11046983082,0
7,0,7,5,8,0,7,5,2,3,1517.52232721456,1544.79818703029,1
3,7,4,7,3,10,3,4,1,1,1365.68793330056,1399.36821970189,1
4,6,4,8,2,7,2,11,1,0,1335.4850726945501,1369.09342697524,1
6,4,8,2,3,7,7,2,3,2,1629.09918714557,1535.6314336361,1
6,4,2,9,9,1,9,2,2,3,1440.69429234426,1640.9663938897302,0
6,4,2,7,9,2,4,5,2,2,1526.1420633901098,1513.75947768935,0
7,4,2,7,5,7,4,3,2,1,1440.51932910816,1534.8163485037699,1
3,4,5,9,5,4,3,7,2,1,1504.4738490535801,1453.0842221127803,1
