Team,12,2,4,9,13,6,27,19,8,21,29,7,22,25,28,11,10,20,30,3,16,15,5,24,17,23,26,1,18,14
2,4-0,,2-2,2-1,2-2,4-0,1-1,0-2,3-1,1-1,0-2,3-1,0-2,1-1,2-0,3-1,1-2,2-0,2-0,3-1,2-0,0-3,3-1,1-1,0-2,2-0,0-2,2-2,0-2,3-0
4,3-0,2-2,,3-1,2-2,3-1,1-1,2-0,2-1,0-2,1-1,1-2,0-2,2-0,1-1,2-2,1-3,0-2,1-1,3-1,0-2,2-1,2-2,2-0,0-2,2-0,1-1,1-3,0-2,2-2
9,2-2,1-2,1-3,,1-2,3-1,0-2,0-2,0-4,0-2,0-2,0-4,0-2,0-2,2-0,1-2,0-4,0-2,0-2,1-2,1-1,2-2,1-3,2-0,0-2,0-2,1-1,0-4,0-2,3-1
13,3-1,2-2,2-2,2-1,,3-1,0-2,1-1,4-0,0-2,0-2,1-2,0-2,0-2,2-0,2-2,1-3,1-1,1-1,2-1,0-2,2-2,0-4,2-0,0-2,1-1,2-0,2-1,0-2,3-1
6,1-2,0-4,1-3,1-3,1-3,,0-2,0-2,1-3,0-2,1-1,1-3,0-2,1-1,1-1,0-4,1-3,0-2,0-2,3-0,0-2,1-2,1-2,1-1,0-2,0-2,0-2,1-3,0-2,2-2
27,1-1,1-1,1-1,2-0,2-0,2-0,,0-3,1-1,2-2,2-2,1-1,2-2,0-3,1-3,0-2,0-2,2-1,1-3,1-1,3-1,1-1,1-1,2-2,2-2,0-3,0-4,0-2,1-3,1-1
19,1-1,2-0,0-2,2-0,1-1,2-0,3-0,,1-1,1-3,1-3,1-1,3-1,2-1,2-1,2-0,0-2,4-0,2-2,2-0,4-0,2-0,1-1,3-1,3-1,3-0,2-2,2-0,1-3,1-1
8,2-1,1-3,1-2,4-0,0-4,3-1,1-1,1-1,,1-1,1-1,1-3,1-1,1-1,2-0,2-2,0-4,2-0,1-1,4-0,0-2,3-1,1-3,2-0,1-1,0-2,0-2,3-0,0-2,2-1
21,2-0,1-1,2-0,2-0,2-0,2-0,2-2,3-1,1-1,,1-3,2-0,3-1,3-1,3-1,1-1,1-1,3-1,3-0,2-0,2-1,1-1,1-1,3-1,2-2,4-0,1-2,0-2,2-1,2-0
29,2-0,2-0,1-1,2-0,2-0,1-1,2-2,3-1,1-1,3-1,,2-0,1-2,3-1,3-1,1-1,0-2,1-2,2-2,2-0,1-3,1-1,1-1,3-0,1-2,4-0,3-1,2-0,2-2,1-1
7,4-0,1-3,2-1,4-0,2-1,3-1,1-1,1-1,3-1,0-2,0-2,,1-1,1-1,1-1,3-0,1-3,1-1,2-0,4-0,1-1,1-3,1-3,2-0,0-2,1-1,1-1,1-2,2-0,3-1
