TEAM_ID,TEAM_NAME,OVERALL,HOME_RECORD,ROAD_RECORD,POST_SEASON_RECORD,RECORD_CLOSE_GAMES,RECORD_NORMAL_GAMES
1610612759,San Antonio Spurs,62-20,32-9,30-11,24-5,7-0,35-12
1610612760,Oklahoma City Thunder,59-23,34-7,25-16,16-11,10-4,33-8
1610612746,Los Angeles Clippers,57-25,34-7,23-18,20-7,4-3,30-9
1610612754,Indiana Pacers,56-26,35-6,21-20,16-14,4-3,29-17
1610612745,Houston Rockets,54-28,33-8,21-20,18-11,7-6,30-9
1610612748,Miami Heat,54-28,32-9,22-19,17-14,8-7,29-10
1610612757,Portland Trail Blazers,54-28,31-10,23-18,18-11,8-9,24-13
1610612744,Golden State Warriors,51-31,27-14,24-17,20-9,11-8,28-9
1610612763,Memphis Grizzlies,50-32,27-14,23-18,21-9,10-4,18-13
1610612742,Dallas Mavericks,49-33,26-15,23-18,17-11,11-11,23-10
1610612741,Chicago Bulls,48-34,27-14,21-20,21-9,6-5,27-19
1610612761,Toronto Raptors,48-34,26-15,22-19,20-10,3-8,24-6
1610612756,Phoenix Suns,48-34,26-15,22-19,18-13,2-9,19-7
1610612751,Brooklyn Nets,44-38,28-13,16-25,20-11,8-3,17-20
1610612764,Washington Wizards,44-38,22-19,22-19,19-11,5-9,19-14
1610612766,Charlotte Bobcats,43-39,25-16,18-23,20-9,8-8,18-19
1610612750,Minnesota Timberwolves,40-42,24-17,16-25,15-14,5-6,26-18
1610612737,Atlanta Hawks,38-44,24-17,14-27,13-18,8-9,15-16
1610612752,New York Knicks,37-45,19-22,18-23,17-13,3-8,19-22
1610612743,Denver Nuggets,36-46,22-19,14-27,12-19,8-5,16-24
1610612740,New Orleans Pelicans,34-48,22-19,12-29,11-19,7-8,10-21
1610612739,Cleveland Cavaliers,33-49,19-22,14-27,13-16,7-5,13-27
1610612765,Detroit Pistons,29-53,17-24,12-29,7-23,2-6,16-25
1610612758,Sacramento Kings,28-54,17-24,11-30,10-19,4-9,12-26
1610612747,Los Angeles Lakers,27-55,14-27,13-28,9-20,5-5,12-33
1610612738,Boston Celtics,25-57,16-25,9-32,6-22,5-9,9-23
1610612762,Utah Jazz,25-57,16-25,9-32,6-24,5-4,9-39
1610612753,Orlando Magic,23-59,19-22,4-37,7-21,5-7,10-30
1610612755,Philadelphia 76ers,19-63,10-31,9-32,4-24,6-3,4-46
1610612749,Milwaukee Bucks,15-67,10-31,5-36,6-24,4-5,4-33
