date,home_team,home_team_id,home_team_score,away_team,away_team_id,away_team_score,is_home_winner,home_team_wins,home_team_loses,home_team_points_per_game,home_team_points_against_per_game,away_team_wins,away_team_loses,away_team_points_per_game,away_team_points_against_per_game
2019-10-29,LA Lakers,1610612747,120,Memphis,1610612763,91,1,2,1,78.3,73.75,1,2,83.25,89.8
2019-10-29,Miami,1610612748,112,Atlanta,1610612737,97,1,2,1,89.0,84.75,2,1,79.75,75.0
2019-10-30,Boston,1610612738,116,Milwaukee,1610612749,105,1,2,1,79.8,76.05,2,1,92.05,87.5
2019-10-30,Brooklyn,1610612751,108,Indiana,1610612754,118,0,1,2,92.0,91.5,0,3,74.8,80.3
2019-10-30,Cleveland,1610612739,117,Chicago,1610612741,111,1,1,2,75.75,79.55,1,3,82.4,87.2
2019-10-30,Golden State,1610612744,110,Phoenix,1610612756,121,0,1,2,86.0,95.05,2,2,90.2,83.2
2019-10-30,Oklahoma City,1610612760,99,Portland,1610612757,102,0,1,3,81.4,80.0,2,2,89.6,89.4
2019-10-30,Orlando,1610612753,95,New York,1610612752,83,1,1,2,71.05,72.05,1,3,83.0,88.8
2019-10-30,Philadelphia,1610612755,117,Minnesota,1610612750,95,1,3,0,81.25,75.75,3,0,90.05,82.55
2019-10-30,Sacramento,1610612758,111,Charlotte,1610612766,118,0,0,4,75.4,91.0,1,3,83.4,94.4
2019-10-30,Toronto,1610612761,125,Detroit,1610612765,113,1,3,1,88.6,81.6,2,2,84.2,86.6
2019-10-30,Utah,1610612762,110,LA Clippers,1610612746,96,1,3,1,78.0,72.2,3,1,96.2,89.0
2019-10-30,Washington,1610612764,158,Houston,1610612745,159,0,1,2,78.8,78.25,2,1,87.25,87.0
2019-10-31,Atlanta,1610612737,97,Miami,1610612748,106,0,2,2,83.0,82.2,3,1,93.4,87.0
2019-10-31,LA Clippers,1610612746,103,San Antonio,1610612759,97,1,3,2,96.03333333333335,92.33333333333333,3,0,88.25,84.75
2019-10-31,New Orleans,1610612740,122,Denver,1610612743,107,1,0,4,95.8,101.6,3,1,83.6,81.0
2019-11-01,Boston,1610612738,104,New York,1610612752,102,1,3,1,86.8,81.6,1,4,82.8,89.66666666666667
2019-11-01,Brooklyn,1610612751,123,Houston,1610612745,116,1,1,3,95.0,96.6,3,1,101.4,101.0
2019-11-01,Chicago,1610612741,112,Detroit,1610612765,106,1,1,4,87.03333333333335,92.03333333333335,2,3,88.83333333333333,92.83333333333333
2019-11-01,Dallas,1610612742,110,LA Lakers,1610612747,119,0,3,1,90.8,87.6,3,1,86.4,77.0
2019-11-01,Golden State,1610612744,110,San Antonio,1610612759,127,0,1,3,90.6,100.0,3,1,89.8,88.2
2019-11-01,Indiana,1610612754,102,Cleveland,1610612739,95,1,1,3,83.2,85.6,2,2,83.8,85.6
2019-11-01,Orlando,1610612753,91,Milwaukee,1610612749,123,0,2,2,75.6,74.0,2,2,94.4,93.0
2019-11-01,Sacramento,1610612758,102,Utah,1610612762,101,1,0,5,81.2,95.36666666666667,4,1,83.16666666666667,76.0
2019-11-02,Detroit,1610612765,113,Brooklyn,1610612751,109,1,2,4,91.15714285714286,95.42857142857143,2,3,99.53333333333335,99.66666666666667
2019-11-02,Golden State,1610612744,87,Charlotte,1610612766,93,0,1,4,93.7,104.3,2,3,89.0,97.0
2019-11-02,Memphis,1610612763,105,Phoenix,1610612756,114,0,1,3,84.6,95.6,3,2,95.2,87.5
2019-11-02,Milwaukee,1610612749,115,Toronto,1610612761,105,1,3,2,99.03333333333335,92.5,4,1,94.5,86.63333333333333
2019-11-02,Oklahoma City,1610612760,115,New Orleans,1610612740,104,1,1,4,84.13333333333333,83.46666666666665,1,4,99.96666666666665,102.33333333333333
2019-11-02,Orlando,1610612753,87,Denver,1610612743,91,0,2,3,78.0,82.03333333333335,3,2,87.33333333333333,87.7
2019-11-02,Portland,1610612757,128,Philadelphia,1610612755,129,0,3,2,91.46666666666665,90.8,4,0,88.2,79.4
2019-11-02,Washington,1610612764,109,Minnesota,1610612750,131,0,1,3,94.4,94.2,3,1,90.8,89.2
2019-11-03,Cleveland,1610612739,111,Dallas,1610612742,131,0,2,3,85.5,88.16666666666667,3,2,93.86666666666667,92.7
2019-11-03,Indiana,1610612754,108,Chicago,1610612741,95,1,2,3,86.2,86.96666666666665,2,4,90.42857142857143,93.87142857142858
2019-11-03,LA Clippers,1610612746,105,Utah,1610612762,94,1,4,2,96.9,92.87142857142858,4,2,85.57142857142857,79.6
2019-11-03,Miami,1610612748,129,Houston,1610612745,100,1,4,1,95.3,88.53333333333335,3,2,103.63333333333333,104.5
2019-11-03,New York,1610612752,92,Sacramento,1610612758,113,0,1,5,85.45714285714284,91.55714285714285,1,5,83.95714285714284,95.95714285714284
2019-11-03,San Antonio,1610612759,96,LA Lakers,1610612747,103,0,4,1,95.8,91.63333333333333,4,1,91.63333333333333,82.3
2019-11-04,Brooklyn,1610612751,135,New Orleans,1610612740,125,1,2,4,100.71428571428571,101.44285714285715,1,5,100.44285714285715,104.01428571428572
2019-11-04,Golden State,1610612744,127,Portland,1610612757,118,1,1,5,92.55714285714285,102.54285714285716,3,3,96.54285714285716,96.15714285714286
2019-11-04,Memphis,1610612763,100,Houston,1610612745,107,0,1,4,87.83333333333333,98.46666666666665,3,3,103.01428571428572,107.8142857142857
2019-11-04,Minnesota,1610612750,106,Milwaukee,1610612749,134,0,4,1,97.33333333333333,92.36666666666667,4,2,101.15714285714286,94.15714285714286
2019-11-04,Phoenix,1610612756,114,Philadelphia,1610612755,109,1,4,2,97.71428571428571,89.82857142857144,5,0,94.83333333333333,87.3
2019-11-04,Washington,1610612764,115,Detroit,1610612765,99,1,1,4,96.63333333333333,100.2,3,4,93.725,97.025
2019-11-05,Atlanta,1610612737,108,San Antonio,1610612759,100,1,2,3,85.2,86.03333333333335,4,2,95.71428571428571,93.17142857142856
2019-11-05,Chicago,1610612741,112,LA Lakers,1610612747,118,0,2,5,90.9,95.55,5,1,93.14285714285714,84.1
2019-11-05,Charlotte,1610612766,122,Indiana,1610612754,120,1,3,3,89.47142857142858,95.45714285714284,3,3,89.15714285714286,87.97142857142858
2019-11-05,Cleveland,1610612739,113,Boston,1610612738,119,0,2,4,88.95714285714284,94.1,4,1,89.46666666666665,84.86666666666667
2019-11-05,Denver,1610612743,109,Miami,1610612748,89,1,4,2,87.72857142857143,87.38571428571427,5,1,99.98571428571428,90.02857142857142
2019-11-05,Oklahoma City,1610612760,102,Orlando,1610612753,94,1,2,4,88.42857142857143,86.27142857142857,2,4,79.17142857142856,83.12857142857142
2019-11-06,Atlanta,1610612737,93,Chicago,1610612741,113,0,3,3,88.3142857142857,87.85714285714286,2,6,93.14444444444445,97.86666666666667
2019-11-06,Dallas,1610612742,107,Orlando,1610612753,106,1,4,2,99.01428571428572,95.15714285714286,2,5,80.85,85.425
2019-11-06,Detroit,1610612765,122,New York,1610612752,102,1,3,5,94.24444444444444,98.86666666666667,1,6,86.15,94.15
2019-11-06,Houston,1610612745,129,Golden State,1610612744,112,1,4,3,103.375,106.8,2,5,96.8,104.375
2019-11-06,Indiana,1610612754,121,Washington,1610612764,106,1,3,4,92.875,92.15,2,4,99.15714285714286,99.8142857142857
2019-11-06,LA Clippers,1610612746,124,Milwaukee,1610612749,129,0,5,2,97.8,92.875,5,2,105.175,95.5
2019-11-06,Memphis,1610612763,137,Minnesota,1610612750,121,1,1,5,89.42857142857143,99.61428571428573,4,2,98.41428571428571,98.12857142857142
2019-11-06,Toronto,1610612761,124,Sacramento,1610612758,120,1,4,2,95.88571428571427,90.55714285714285,2,5,87.5,95.4
2019-11-06,Utah,1610612762,106,Philadelphia,1610612755,104,1,4,3,86.55,82.6,5,1,96.74285714285713,90.95714285714284
2019-11-07,Charlotte,1610612766,87,Boston,1610612738,108,0,4,3,93.425,98.4,5,1,93.57142857142857,88.67142857142856
2019-11-07,LA Clippers,1610612746,107,Portland,1610612757,101,1,5,3,100.51111111111112,96.77777777777777,3,4,99.175,99.925
2019-11-07,Phoenix,1610612756,108,Miami,1610612748,124,0,5,2,99.6,92.1,5,2,98.5,92.3
2019-11-07,San Antonio,1610612759,121,Oklahoma City,1610612760,112,1,4,3,96.175,94.9,3,4,90.0,87.175
