HOME_TEAM_HOME_WINS,HOME_TEAM_ROAD_WINS,AWAY_TEAM_HOME_WINS,AWAY_TEAM_ROAD_WINS,HOME_TEAM_RATING,AWAY_TEAM_RATING,HOME_TEAM_PPG,HOME_TEAM_PAPG,AWAY_TEAM_PPG,AWAY_TEAM_PAPG,HOME_TEAM_WINS
0.25,0.5,0.4,0.5,0.9,0.16666666666666663,93,99,100,101,1
0.25,0.5,0.25,0.333,0.033333333333333326,0.06666666666666665,100,110,88,106,1
0.75,0.5,0.75,0.75,0.9666666666666667,0.6333333333333333,118,111,106,95,0
0.5,0.5,0.4,0.333,0.6,0.23333333333333328,100,98,108,110,1
0.5,0.6,0.5,0.5,0.1333333333333333,0.8,94,79,100,101,0
0.333,0.75,0.667,0.6,0.5333333333333333,1.0,105,105,99,89,1
0.75,0.4,0.6,0.5,0.6666666666666667,0.9666666666666667,100,102,114,109,1
0.333,0.6,0.5,0.25,0.7,0.5,98,98,102,100,0
0.333,0.6,0.333,0.6,0.3666666666666667,0.1333333333333333,99,101,93,86,0
0.333,0.75,0.6,0.333,0.4666666666666667,0.8333333333333334,102,98,99,95,0
0.5,0.6,0.5,0.6,0.8,0.7333333333333334,101,99,92,101,1
0.4,0.333,0.5,0.75,0.16666666666666663,0.5333333333333333,100,100,104,104,1
0.25,0.2,0.2,0.333,0.5666666666666667,0.19999999999999996,89,104,106,116,0
0.75,0.6,0.25,0.25,0.30000000000000004,0.06666666666666665,101,90,88,102,1
0.8,0.75,0.25,0.6,0.7666666666666666,0.3666666666666667,117,96,96,100,1
0.4,0.5,0.6,0.5,0.9,0.8333333333333334,94,99,98,93,1
0.25,0.25,0.6,0.8,0.33333333333333337,0.43333333333333335,100,115,99,95,0
0.25,0.6,0.4,0.5,0.4,0.033333333333333326,102,101,98,105,0
0.25,0.4,0.75,0.8,0.09999999999999998,0.6333333333333333,105,106,106,95,1
0.6,0.5,0.6,0.667,0.6,0.2666666666666667,104,98,94,92,0
0.4,0.25,0.5,0.333,0.23333333333333328,0.8666666666666667,106,112,99,109,0
0.6,0.833,0.5,0.6,0.43333333333333335,0.5333333333333333,102,98,103,106,1
0.8,0.4,0.25,0.75,0.6666666666666667,0.4666666666666667,101,101,98,97,0
0.25,0.6,0.2,0.25,0.7,0.33333333333333337,97,100,103,116,1
0.8,0.5,0.5,0.5,0.9333333333333333,0.8666666666666667,107,101,101,109,0
0.4,0.6,0.2,0.2,0.033333333333333326,0.5666666666666667,98,103,91,104,1
0.25,0.2,0.4,0.4,0.06666666666666665,0.09999999999999998,91,103,103,103,0
