date,home_team,home_team_id,home_team_score,away_team,away_team_id,away_team_score,is_home_winner,home_team_wins,home_team_loses,home_team_points_per_game,home_team_points_against_per_game,away_team_wins,away_team_loses,away_team_points_per_game,away_team_points_against_per_game
2018-10-24,Phoenix,24,113,LA Lakers,25,131,0,1,2,77.75,84.55,0,3,93.05,97.75
2018-10-24,Sacramento,23,97,Memphis,28,92,1,1,3,96.8,102.6,2,1,75.5,77.05
2018-10-24,San Antonio,26,96,Indiana,7,116,0,2,1,89.8,91.8,2,2,86.0,81.8
2018-10-24,Toronto,1,112,Minnesota,20,105,1,4,0,93.6,83.8,2,2,94.2,92.2
2018-10-25,Detroit,8,110,Cleveland,6,103,1,3,0,87.5,86.05,0,4,83.8,95.4
2018-10-25,LA Lakers,25,121,Denver,19,114,1,1,3,100.4,100.6,4,0,89.4,78.8
2018-10-25,Oklahoma City,16,95,Boston,2,101,0,0,3,77.05,85.75,2,2,78.8,77.8
2018-10-25,Orlando,15,114,Portland,17,128,0,2,2,79.0,84.4,2,1,92.3,87.0
2018-10-26,Charlotte,13,135,Chicago,9,106,1,2,3,92.5,91.03333333333335,1,3,88.0,93.0
2018-10-26,Houston,29,113,LA Clippers,22,133,0,1,3,86.4,91.2,2,2,85.0,84.4
2018-10-26,Minnesota,20,95,Milwaukee,10,125,0,2,3,95.86666666666667,95.36666666666667,4,0,94.6,85.8
2018-10-26,New Orleans,30,117,Brooklyn,4,115,1,3,0,98.05000000000001,86.55,2,2,83.2,84.2
2018-10-26,New York,3,100,Golden State,21,128,0,1,4,87.63333333333333,90.86666666666667,4,1,98.46666666666665,90.33333333333333
2018-10-26,Sacramento,23,116,Washington,14,112,1,2,3,96.66666666666667,100.63333333333333,1,3,93.4,98.6
2018-10-26,Toronto,1,116,Dallas,27,107,1,5,0,96.46666666666665,87.16666666666667,2,2,90.8,94.4
2018-10-27,Atlanta,12,85,Chicago,9,97,0,2,2,92.6,93.4,1,4,90.83333333333333,99.83333333333333
2018-10-27,Cleveland,6,107,Indiana,7,119,0,0,5,86.86666666666667,97.66666666666667,3,2,90.86666666666667,83.96666666666665
2018-10-27,Detroit,8,89,Boston,2,109,0,4,0,91.8,89.2,3,2,82.33333333333333,80.46666666666665
2018-10-27,Memphis,28,117,Phoenix,24,96,1,2,2,78.6,80.8,1,3,84.6,93.6
2018-10-27,Miami,11,120,Portland,17,111,1,2,2,86.2,82.2,3,1,99.2,92.2
2018-10-27,Milwaukee,10,113,Orlando,15,91,1,5,0,99.46666666666665,87.13333333333333,2,3,84.63333333333333,91.46666666666665
2018-10-27,New Orleans,30,111,Utah,18,132,0,4,0,101.6,92.0,2,2,85.0,83.4
2018-10-27,Philadelphia,5,105,Charlotte,13,103,1,2,3,94.0,96.33333333333333,3,3,98.38571428571427,93.0
2018-10-27,San Antonio,26,110,LA Lakers,25,106,1,2,2,90.8,96.4,2,3,103.63333333333333,102.66666666666667
2018-10-28,Brooklyn,4,114,Golden State,21,120,0,2,3,88.3,89.5,5,1,102.55714285714285,91.61428571428573
2018-10-28,Dallas,27,104,Utah,18,113,0,2,3,93.36666666666667,97.86666666666667,3,2,92.66666666666667,87.86666666666667
2018-10-28,LA Clippers,22,136,Washington,14,104,1,3,2,92.83333333333333,88.96666666666665,1,4,96.36666666666667,101.33333333333333
2018-10-28,Oklahoma City,16,117,Phoenix,24,110,1,0,4,80.4,88.6,1,4,86.36666666666667,97.3
2018-10-29,Chicago,9,124,Golden State,21,149,0,2,4,91.58571428571429,97.61428571428573,6,1,104.675,94.3
2018-10-29,Denver,19,116,New Orleans,30,111,1,4,1,93.36666666666667,85.7,4,1,103.0,98.46666666666665
2018-10-29,Indiana,7,93,Portland,17,103,0,4,2,94.71428571428571,87.1857142857143,3,2,101.03333333333335,96.7
2018-10-29,Miami,11,113,Sacramento,23,123,0,3,2,91.66666666666667,86.8,3,3,99.32857142857144,102.15714285714286
2018-10-29,Milwaukee,10,124,Toronto,1,109,1,6,0,101.28571428571429,87.52857142857142,6,0,99.12857142857142,89.88571428571427
2018-10-29,Minnesota,20,124,LA Lakers,25,120,1,2,4,95.58571428571429,99.45714285714284,2,4,103.85714285714286,103.58571428571429
2018-10-29,New York,3,115,Brooklyn,4,96,1,1,5,89.27142857142857,95.98571428571428,2,4,91.88571428571427,93.67142857142856
2018-10-29,Philadelphia,5,113,Atlanta,12,92,1,3,3,95.45714285714284,97.15714285714286,2,3,91.16666666666667,93.86666666666667
2018-10-29,San Antonio,26,113,Dallas,27,108,1,3,2,93.86666666666667,97.8,2,4,94.67142857142856,99.85714285714286
2018-10-30,Boston,2,108,Detroit,8,105,1,4,2,85.97142857142858,81.6,4,1,91.2,92.3
2018-10-30,Charlotte,13,125,Miami,11,113,1,3,4,98.875,94.375,3,3,94.55714285714285,91.84285714285714
2018-10-30,Cleveland,6,136,Atlanta,12,114,1,0,6,89.57142857142857,100.61428571428573,2,4,91.11428571428573,96.47142857142858
2018-10-30,Houston,29,85,Portland,17,104,0,1,4,90.63333333333333,97.96666666666665,4,2,101.14285714285714,95.95714285714284
2018-10-30,Memphis,28,107,Washington,14,95,1,3,2,84.86666666666667,83.16666666666667,1,5,97.32857142857144,106.11428571428573
2018-10-30,Oklahoma City,16,128,LA Clippers,22,110,1,1,4,86.36666666666667,91.96666666666665,4,2,98.88571428571427,91.01428571428572
2018-10-30,Orlando,15,99,Sacramento,23,107,0,2,4,85.45714285714284,94.41428571428571,4,3,102.125,103.425
2018-10-30,Toronto,1,129,Philadelphia,5,112,1,6,1,100.275,94.0,4,3,97.5,96.375
2018-10-31,Brooklyn,4,120,Detroit,8,119,1,2,5,92.3,96.225,4,2,93.0,94.45714285714284
2018-10-31,Chicago,9,107,Denver,19,108,0,2,5,95.525,103.9,5,1,96.47142857142858,89.11428571428573
2018-10-31,Golden State,21,131,New Orleans,30,121,1,7,1,109.44444444444444,97.45555555555556,4,2,104.01428571428572,100.88571428571427
2018-10-31,LA Lakers,25,114,Dallas,27,113,1,2,5,105.75,105.975,2,5,96.275,101.35
2018-10-31,Minnesota,20,128,Utah,18,125,1,3,4,99.0,101.875,4,2,95.44285714285715,90.01428571428572
2018-10-31,New York,3,101,Indiana,7,107,0,2,5,92.375,95.925,4,3,94.425,88.975
2018-10-31,Phoenix,24,90,San Antonio,26,120,0,1,5,89.54285714285716,99.95714285714284,4,2,96.45714285714284,99.14285714285714
2018-11-01,Atlanta,12,115,Sacramento,23,146,0,2,5,93.925,101.25,5,3,102.57777777777778,102.82222222222221
2018-11-01,Boston,2,117,Milwaukee,10,113,1,5,2,88.675,84.375,7,0,103.975,90.175
2018-11-01,Charlotte,13,107,Oklahoma City,16,111,0,4,4,101.7111111111111,96.36666666666667,2,4,92.14285714285714,94.41428571428571
2018-11-01,Cleveland,6,91,Denver,19,110,0,1,6,95.225,102.15,6,1,97.75,91.225
2018-11-01,Philadelphia,5,122,LA Clippers,22,113,1,4,4,99.04444444444444,99.84444444444445,4,3,100.175,95.55
2018-11-01,Portland,17,132,New Orleans,30,119,1,5,2,101.4,94.525,4,3,106.025,104.5
2018-11-02,Brooklyn,4,111,Houston,29,119,0,3,5,95.26666666666667,98.67777777777778,1,5,89.7,98.74285714285713
2018-11-02,Chicago,9,105,Indiana,7,107,0,2,6,96.63333333333333,104.2111111111111,5,3,95.71111111111111,90.23333333333333
2018-11-02,Dallas,27,106,New York,3,118,0,2,6,98.02222222222221,102.6888888888889,2,6,93.18888888888888,97.02222222222221
2018-11-02,Golden State,21,116,Minnesota,20,99,1,8,1,111.5,99.7,4,4,102.09999999999998,104.3111111111111
2018-11-02,Orlando,15,95,LA Clippers,22,120,0,2,5,87.025,95.9,4,4,101.46666666666667,98.34444444444445
2018-11-02,Phoenix,24,98,Toronto,1,107,0,1,6,89.55,102.425,7,1,103.3111111111111,95.9111111111111
2018-11-02,Utah,18,100,Memphis,28,110,0,4,3,99.0,94.65,4,2,87.88571428571427,84.71428571428571
2018-11-02,Washington,14,111,Oklahoma City,16,134,0,1,6,96.925,106.15,3,4,94.35,95.925
2018-11-03,Atlanta,12,123,Miami,11,118,1,2,6,96.13333333333333,106.08888888888889,3,4,96.75,95.925
2018-11-03,Chicago,9,88,Houston,29,96,0,2,7,97.4,104.4,2,5,93.3,100.1
2018-11-03,Charlotte,13,126,Cleveland,6,94,1,4,5,102.1,97.7,1,7,94.65555555555555,102.90000000000002
2018-11-03,Denver,19,103,Utah,18,88,1,7,1,98.95555555555556,91.12222222222222,4,4,99.02222222222221,96.25555555555556
2018-11-03,Indiana,7,102,Boston,2,101,1,6,3,96.7,91.6,6,2,91.67777777777778,87.46666666666665
2018-11-03,Philadelphia,5,109,Detroit,8,99,1,5,4,101.2,101.1,4,3,96.125,97.475
2018-11-03,Portland,17,110,LA Lakers,25,114,0,6,2,104.67777777777779,97.13333333333333,3,5,106.53333333333333,106.67777777777779
2018-11-03,San Antonio,26,109,New Orleans,30,95,1,5,2,99.275,97.925,4,4,107.34444444444446,107.48888888888888
2018-11-04,Brooklyn,4,122,Philadelphia,5,97,1,3,6,96.7,100.6,6,4,101.78181818181817,100.80909090909091
2018-11-04,LA Lakers,25,107,Toronto,1,121,0,4,5,107.2,106.9,8,1,103.6,96.0
2018-11-04,Milwaukee,10,144,Sacramento,23,109,1,7,1,104.90000000000002,92.98888888888888,6,3,106.8,103.9
2018-11-04,Phoenix,24,102,Memphis,28,100,1,1,7,90.36666666666667,102.7888888888889,5,2,90.5,86.55
2018-11-04,Portland,17,111,Minnesota,20,81,1,6,3,105.1,98.7,4,5,101.7,105.4
2018-11-04,San Antonio,26,110,Orlando,15,117,0,6,2,100.17777777777778,97.4,2,6,87.8,98.47777777777779
2018-11-04,Washington,14,108,New York,3,95,1,1,7,98.3,109.14444444444445,3,6,95.6,97.8
2018-11-05,Denver,19,115,Boston,2,107,1,8,1,99.3,90.7,6,3,92.5,88.8
2018-11-05,Detroit,8,115,Miami,11,120,0,4,4,96.32222222222222,98.66666666666667,3,5,98.96666666666665,98.82222222222222
2018-11-05,Golden State,21,117,Memphis,28,101,1,9,1,111.86363636363636,99.51818181818182,5,3,91.47777777777779,88.1
2018-11-05,Indiana,7,94,Houston,29,98,0,7,3,97.05454545454545,92.39090909090909,3,5,93.4111111111111,98.65555555555555
2018-11-05,LA Clippers,22,120,Minnesota,20,109,1,5,4,103.2,97.9,4,6,99.69090909090909,105.7909090909091
2018-11-05,New York,3,115,Chicago,9,116,0,3,7,95.44545454545455,98.65454545454546,2,8,96.45454545454545,103.54545454545455
2018-11-05,Oklahoma City,16,122,New Orleans,30,116,1,4,4,98.64444444444445,97.4111111111111,4,5,106.0,107.5
2018-11-05,Orlando,15,102,Cleveland,6,100,1,3,6,90.6,99.5,1,8,94.5,105.1
2018-11-05,Utah,18,111,Toronto,1,124,0,4,5,97.8,96.8,9,1,105.12727272727274,96.9090909090909
2018-11-06,Charlotte,13,113,Atlanta,12,102,1,5,5,104.22727272727273,97.22727272727273,3,6,98.7,107.2
2018-11-06,Dallas,27,119,Washington,14,100,1,2,7,98.7,104.1,2,7,99.2,107.6
2018-11-06,Phoenix,24,82,Brooklyn,4,104,0,2,7,91.4,102.4,4,6,98.94545454545455,100.14545454545454
2018-11-06,Portland,17,118,Milwaukee,10,103,1,7,3,105.57272727272726,97.03636363636365,8,1,108.7,94.5
2018-11-07,Atlanta,12,107,New York,3,112,0,3,7,98.87272727272726,107.61818181818181,3,8,96.96666666666665,99.98333333333335
2018-11-07,Cleveland,6,86,Oklahoma City,16,95,0,1,9,94.88181818181819,104.76363636363637,5,4,100.9,99.2
2018-11-07,Indiana,7,94,Philadelphia,5,100,0,7,4,96.76666666666665,92.76666666666665,6,5,101.36666666666667,102.46666666666665
2018-11-07,LA Lakers,25,114,Minnesota,20,110,1,4,6,107.13636363636364,108.1,4,7,100.43333333333332,106.90000000000002
2018-11-07,Memphis,28,89,Denver,19,87,1,5,4,92.3,90.9,9,1,100.5909090909091,92.10909090909091
2018-11-07,Miami,11,95,San Antonio,26,88,1,4,5,101.0,100.3,6,3,101.1,99.3
2018-11-07,New Orleans,30,107,Chicago,9,98,1,4,6,106.77272727272727,108.69090909090909,3,8,98.03333333333335,104.38333333333333
2018-11-07,Orlando,15,96,Detroit,8,103,0,4,6,91.57272727272726,99.43636363636364,4,5,98.1,100.7
2018-11-07,Sacramento,23,105,Toronto,1,114,0,6,4,106.95454545454545,107.43636363636364,10,1,106.59999999999998,98.05
2018-11-07,Utah,18,117,Dallas,27,102,1,4,6,98.86363636363636,99.22727272727273,3,7,100.42727272727274,103.66363636363636
2018-11-08,Golden State,21,111,Milwaukee,10,134,0,10,1,112.15000000000002,99.63333333333333,8,2,108.11818181818181,96.5090909090909
2018-11-08,Oklahoma City,16,98,Houston,29,80,1,6,4,100.2909090909091,97.92727272727274,4,5,93.8,98.1
2018-11-08,Phoenix,24,109,Boston,2,116,0,2,8,90.4909090909091,102.45454545454545,6,4,93.75454545454545,91.0909090909091
2018-11-08,Portland,17,116,LA Clippers,22,105,1,8,3,106.53333333333335,97.45,6,4,104.65454545454546,98.85454545454546
2018-11-09,Atlanta,12,109,Detroit,8,124,0,3,8,99.51666666666665,107.96666666666665,5,5,98.42727272727274,100.19090909090909
2018-11-09,Denver,19,110,Brooklyn,4,112,0,9,2,99.43333333333332,91.76666666666665,5,6,99.26666666666665,98.63333333333333
2018-11-09,Miami,11,102,Indiana,7,110,0,5,5,100.32727272727271,99.1,7,5,96.43846153846154,93.25384615384615
2018-11-09,Orlando,15,117,Washington,14,108,1,4,7,91.84999999999998,99.7,2,8,99.18181818181819,108.56363636363636
2018-11-09,Philadelphia,5,133,Charlotte,13,132,1,7,5,101.16923076923078,101.74615384615385,6,5,104.8,97.61666666666667
2018-11-09,Sacramento,23,121,Minnesota,20,110,1,6,5,106.71666666666665,107.93333333333332,4,8,101.03846153846153,107.3923076923077
2018-11-09,Utah,18,123,Boston,2,115,1,5,6,100.34999999999998,99.31666666666668,7,4,95.51666666666665,92.55
2018-11-10,Chicago,9,99,Cleveland,6,98,1,3,9,97.88461538461539,104.56153846153846,1,10,94.13333333333333,103.84999999999998
2018-11-10,Dallas,27,111,Oklahoma City,16,96,1,3,8,100.55,104.7,7,4,100.0,96.34999999999998
2018-11-10,Golden State,21,116,Brooklyn,4,100,1,10,2,111.97692307692309,102.1076923076923,6,6,100.1076923076923,99.37692307692306
2018-11-10,LA Clippers,22,128,Milwaukee,10,126,1,6,5,104.63333333333333,100.2,9,2,110.2,97.63333333333333
2018-11-10,Memphis,28,112,Philadelphia,5,106,1,6,4,91.91818181818181,90.46363636363635,8,5,103.32857142857144,103.9
2018-11-10,Miami,11,110,Washington,14,116,0,5,6,100.43333333333332,99.93333333333332,2,9,99.83333333333333,109.13333333333333
2018-11-10,New Orleans,30,119,Phoenix,24,99,1,5,6,106.78333333333335,107.75,2,9,91.95,103.48333333333335
2018-11-10,Sacramento,23,86,LA Lakers,25,101,0,7,5,107.68461538461537,108.03076923076922,5,6,107.58333333333333,108.13333333333333
2018-11-10,San Antonio,26,96,Houston,29,89,1,6,4,99.77272727272727,98.80909090909091,4,6,92.4090909090909,97.97272727272728
2018-11-10,Toronto,1,128,New York,3,112,1,11,1,107.05384615384615,98.48461538461538,4,8,98.08461538461539,100.45384615384614
2018-11-11,Denver,19,114,Milwaukee,10,121,0,9,3,100.13076923076923,93.1923076923077,9,3,111.29230769230769,99.93076923076924
2018-11-11,Detroit,8,103,Charlotte,13,113,0,6,5,100.51666666666665,100.88333333333333,6,6,106.8076923076923,100.27692307692308
2018-11-11,Houston,29,115,Indiana,7,103,1,4,7,92.11666666666667,97.71666666666665,8,5,97.34285714285714,93.78571428571429
2018-11-11,LA Lakers,25,107,Atlanta,12,106,1,6,6,106.96923076923078,106.34615384615384,3,9,100.14615384615384,109.06923076923076
2018-11-11,New York,3,89,Orlando,15,115,0,4,9,99.04285714285716,102.38571428571427,5,7,93.65384615384616,100.25384615384615
2018-11-11,Portland,17,100,Boston,2,94,1,9,3,107.1076923076923,97.96923076923078,7,5,96.96923076923078,94.8076923076923
2018-11-12,Chicago,9,98,Dallas,27,103,0,4,9,97.9,104.04285714285716,4,8,101.27692307692308,103.96153846153847
2018-11-12,LA Clippers,22,121,Golden State,21,116,1,7,5,106.29230769230769,102.07692307692308,11,2,112.21428571428571,101.95714285714284
2018-11-12,Memphis,28,88,Utah,18,96,0,7,4,93.46666666666665,91.7,6,6,102.01538461538462,100.43076923076924
2018-11-12,Miami,11,114,Philadelphia,5,124,0,5,7,101.03076923076922,101.06153846153846,8,6,103.43333333333334,104.3
2018-11-12,Minnesota,20,120,Brooklyn,4,113,1,4,9,101.62857142857142,108.32857142857144,6,7,100.02857142857142,100.52857142857142
2018-11-12,Oklahoma City,16,118,Phoenix,24,101,1,7,5,99.62307692307694,97.43076923076924,2,10,92.43076923076924,104.62307692307694
2018-11-12,Sacramento,23,104,San Antonio,26,99,1,7,6,106.07142857142857,107.42857142857143,7,4,99.45,97.93333333333332
2018-11-12,Toronto,1,110,New Orleans,30,126,0,12,1,108.54285714285716,99.4,6,6,107.6076923076923,107.03846153846153
